Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,238368,31
105347052558895,Ülküm Türkiye,Taha Güven,138677,12
1607304669378571,İlk Oy Hareketi,İlk Oy Hareketi,133769,50
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),121649,60
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,101809,50
141870402543282,AK Parti,Ak Parti,86361,7
101726388406507,Tabuta Sığmayanlar,Tabuta Sığmayanlar,81048,13
76599755300,Kemal Kılıçdaroğlu,Kemal Kılıçdaroğlu,70492,51
176338225842984,Yeşil Sol Parti,Yeşil Sol Parti,67272,21
510344522371733,Oy ve Ötesi,Oy ve Ötesi,46881,72
1160506840785202,Murat Kurum,Murat Kurum,38290,21
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,36556,52
462963834529864,Levent Uysal,Levent Uysal,20783,18
417251848779475,Mehmet Ersoy,Mehmet Ersoy,17731,31
100474483029551,Trabzon için Hemen Şimdi,Adil Çözüm,16907,16
210993622366044,TVNET,TVNET,16721,43
104555602151780,Ebrar Nura Umutol,Emrah Bilaloglu,15424,1
804210899660885,Ahmet Katar,Ahmet Katar,13147,27
373938392217,AK PARTİ ANKARA İL BAŞKANLIĞI,AK PARTİ ANKARA İL BAŞKANLIĞI,12634,2
787833781580301,Kim Kimdir?,Adem Demirkol,12590,70
105724511499805,Yeniden Refah Partisi,Yeniden Refah Partisi,12470,67
294889615437,Sinan Oğan,Sinan Oğan,12195,4
255216477892758,CHP Ankara İl Başkanlığı,Anıl Can Arslan,11573,16
1407759386141852,Ahmet Akın,Ahmet Akın,10921,26
106257739113036,Yudum Kaşıkçı,Yudum Kaşıkçı,10454,29
106187277979172,Dijital Gaste,Veysel Karahan,10216,6
136130166537386,AK Parti Bursa İl Başkanlığı,AK Parti Bursa İl Başkanlığı,9783,4
217712041637127,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,9455,1
1414815935509791,MHP Kayseri Milletvekili Baki Ersoy,Latif Ersoy,9272,21
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,9002,12
655349114629011,Av. Ece Güner,Av. Ece Güner,8634,3
500796300357232,Turgay Baştuğ,Milliyetçi Hareket Partisi Ankara İl Başkanlığı,8333,72
877839188967827,Büyük Türkiye,Adem Demirkol,8217,13
621229804571861,Fethi Yaşar,Fethi Yaşar,7655,12
209175722605698,Saffet Sancaklı,Saffet Sancaklı,7632,8
378633122196492,Lutfullah Kayalar,Serhan Kayalar,6134,17
338192240782851,Davut Gürkan,Davut Gürkan,5907,4
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,5803,5
1768709703437324,İYİ Parti Adana İl Başkanlığı,İYİ Parti Adana İl Başkanlığı,5761,1
113488565046764,Av. Arslan Bolat,Av Arslan Bolat,5616,12
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,5423,6
206541136053869,Behçet SAATCI,Behçet Saatcı,5410,5
113823067080077,DEVA Partisi Sivas İl Teşkilatı,Taha Kutlu Çevik,5311,25
101519926236417,Mustafa Akın,Mustafa Akın,4895,17
102095934751904,Deva Partisi,Deva Partisi,4859,11
504901456292964,Tahsin Ocaklı,Tahsin Ocaklı,4746,11
274475286702,Muharrem İNCE,Muharrem İNCE,4602,7
1807684336017268,Rıdvan Eşin,Gökhan Öztürk,4598,4
116867964704909,Av.Ufuk Kanışkan,Ahmet Özer Esgin,4572,13
103332962391978,Mehmet Altınöz,MUSTAFA ÇALIŞKAN,3945,8
117838861275362,Fahrettin Tuğrul,Fahrettin Tuğrul,3886,4
533617450479963,İdris Naim ŞAHİN,İdris Naim ŞAHİN,3744,6
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,3738,3
589313961445602,Dr. Osman Berke Duvan CHP Adana Milletvekili Adayı,Dr. Osman Berke Duvan CHP Adana Milletvekili Adayı,3696,24
115213624871864,Bahadır Bumin Özarslan,Halil Ibrahim Yilmaz,3625,30
109557384233443,Yüksel Taşkın,Yüksel Taşkın,3598,16
805926876122264,Suat Özçağdaş,Suat Özçağdaş,3548,13
108107585034488,Bahadır Erdem,Bahadır Erdem,3534,7
321011291264753,İsmail Özdemir,Milliyetçi Hareket Partisi,3464,4
1002521723283648,Ayhan Kınden,Ayhan Kınden,3455,10
674523449330207,Yavuz Aydın,Yavuz Aydin,3189,34
114597108291949,Haydi..ama nereye?,Excelligents,3128,31
105051945092974,Memleket Partisi,Mustafa Çağlayan,3059,16
772187612859346,Erkan Haberal,Erkan Haberal,3013,5
565167106929193,SOCAR Türkiye,Koordinat Medya Hizmetleri Ticaret Anonim Şirketi,2821,1
320343148103104,AK Parti Afyonkarahisar İl Başkanlığı,Oktay Yuksel,2780,14
928921137187670,ALİ UÇAK,Volkan Erel,2757,3
106534895734837,Mehmet Emin Önal,Mehmet Emin Önal,2719,8
2055232158049015,Dr.Şahin Talus,Dr.Şahin Talus,2709,2
113851270433840,Türkiye İşçi Partisi-Antalya,Eylem Karaman,2685,9
608372546191157,Şahin Gürz,Şahin Gürz,2668,15
451783681662191,Ali Özkaya,Ali Özkaya,2662,6
1998130653848755,Ramazan Kaşlı  MHP Aksaray Milletvekili,Ramazan Kaşlı  MHP Aksaray Milletvekili,2518,30
219895681531374,İbrahim Ethem Sedef,Kenan Filik,2514,8
483256081848072,Ayşe Keşir,Ayşe Keşir,2401,8
1573208652936912,Mustafa Erdem,Mustafa Erdem,2327,49
103728271055286,Selçuk Kılıçaslan,Selcuk Kilicaslan,2260,5
1622164058014589,Mestan Özcan,OPTİMUM MEDYA VE REKLAM TANITIM HİZMETLERİ A.Ş,2223,22
117756791242075,Arif Ataman - Artvin Bağımsız Milletvekili Adayı,Arif Ataman,2202,15
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,2184,4
105915341216004,Mesut Nur,Mesut Nur,2149,14
122362084136699,evrimbalbaloglu,Evrim Balbaloglu,2098,3
503207923065874,45 HABER,Deniz Guner,2050,6
426339260809702,Oğul Aktuna,Oğul Aktuna,2023,4
528071707564813,Uğurhan Tiryaki,Uğurhan Tiryaki,1934,2
676308195886968,Enver Kiraz,Enver Kiraz,1930,2
234270976646888,Fatih Erbakan,Fatih Erbakan,1915,25
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,1913,9
101316846258251,İbrahim Şenel,Ibrahim Şenel,1913,20
144369108949589,Prof. Dr. Yasemin AÇIK,Prof. Dr. Yasemin AÇIK,1911,4
104606505943488,Bilal Bilici,Bilal Bilici,1891,4
1507047782923237,MHP Ankara İl Başkanlığı,MHP Ankara İl Başkanlığı,1871,26
104205562634100,Hakan Satılmış,Hakan Satılmış,1830,7
326363220894548,Nail Çiler,Nail Çiler,1824,14
101490908746353,Zafer Partisi,Zafer Partisi,1822,1
425757864244456,Süleyman Karaman,Ali Umar,1798,7
118016654594649,Seda KÂYA ÖSEN,Seda Kaya Ösen,1765,13
392491680944925,Mevlüt Çavuşoğlu,Mevlüt Çavuşoğlu,1690,7
1424394931135090,AK Parti Samsun İl Başkanlığı,AK Parti Samsun İl Başkanlığı,1649,14
103700291606228,Doğa Şanlıoğlu,Doğa Şanlıoğlu,1631,22
921794431315874,Berna SUKAS,Berna Sukas,1556,6
231970217587294,Hasan Basri Sönmez,Hasan Basri Sönmez,1552,2
107487660764415,Hasan Ekici,Bekir Karakuş,1542,2
115790992165498,Rıdvan UZ - İYİ PARTİ,Ridvan Uz,1519,11
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,1472,2
118536807883838,Helil İnay Kınay,Helil Kınay,1443,2
125443057854939,Tolga Erener AK PARTİ Giresun Milletvekili Adayı,Tolga Erener AK PARTİ Giresun Milletvekili Adayı,1435,12
532775093532626,Yücel Bulut,Yucel Bulut,1420,10
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,1416,15
109839182079683,Yeşil Sol Batman,Yeşil Sol Parti Batman,1386,7
100961656309902,Bağımsız Milletvekili Fatih Gür,FATİH GÜR İNŞAAT VE TİC.LTD.ŞTİ,1386,7
302982416894185,Hasan Baltacı,These ads ran without a disclaimer,1370,2
120679647668758,Trabzon - Millet İttifakı Cumhurbaşkanlığı Seçim Koordinasyon Merkezi,İlker Akinci,1302,1
2037050303009041,Abdullah Karapıçak,Abdullah Karapıçak,1301,6
110222395380504,Vedat Necmettin Arslanoğlu,Vedat Necmettin Arslanoğlu,1237,1
103141042761034,Ferda Ertürk,Oktay Yuksel,1237,10
119377904457065,Kayseri Bağımsız Milletvekili Adayı Emre Çakmakçi,Emre Çakmakçi,1233,2
851556338241562,Ayşen Kurt,Ayşen Kurt,1230,2
2300970773481796,Alaattin ÇAKIR,Alaattin Çakır,1209,4
1631624877069673,Selim Çakır,Selim Çakır,1171,7
112192125157541,Ercan Öztürk,Ercan Öztürk,1132,6
101412155815146,Seracettin Bedirhanoğlu,Seracettin Bedirhanoğlu,1128,7
350156169488363,KADEM METE,KADEM METE,1124,22
120114614397446,Kübra Dursun,Sinan Ergül,1122,4
1474211066185659,Mustafa Hamarat,Mustafa Hamarat,1095,9
107821532289110,Aziz kalaycı,Ömer Yatkın,1084,7
153092148868180,Ayşe Sibel Yanıkömeroğlu,Ayşe Sibel Yanıkömeroğlu,1076,8
105281861303439,Orhan Kılıç Sayfası,Orhan Kılıç,1069,7
109648772104972,NNC MEDYA I nnchaber.com.tr,Kağan Onaran,1063,3
476701376080948,Tamer Osmanağaoğlu,Tamer Osmanağaoğlu,1045,2
191902777500324,OTAG TV,Levent Açıkgöz,1038,3
117332004664282,Ali Selman IŞIK Niğde Millet Vekili,Ali Selman Işik,1022,11
107672922316658,Mehmet Bağlar,Mesut Tugrul,1019,7
196374208371,ALİ KESKİNKILIÇ,Ali Keskinkılıç,1016,5
101822149476901,Osmaniye Tarih Yazacak,Osmaniye Tarih Yazacak,1004,5
117369164656197,Mehmet Par,Mehmet Par,1004,8
105930572489375,Mehmet Ali Karamemiş Çankırı Milletvekili Adayı,Mehmet Ali Karamemiş,1003,8
723113807768777,Hasan Eryılmaz,Deniz Guner,998,8
1540559519551922,Saruhan Oluç,Saruhan Oluç,987,5
118229034584834,Alptürk Kaya - Zafer Partisi,Alptürk Kaya,986,2
100901992994052,İyi Parti Samsun,Suat Ortahisar,986,5
100575676334753,Zeynel Korkmaz,Şamil Mehmet Korkmaz,982,1
104039202681868,Anıl Denizci,Kazım Sadıkoğlu,981,1
459374448202949,Doruk BULUT,Doruk Bulut,979,4
114651884945940,Zafer Partisi Aydın 1. Sıra Milletvekili Adayı Seray Ünbay,Sensin Kumcuoğlu,979,2
439822306126813,AK Parti Aydın İl Başkanlığı,Kampüs Yazılım,979,1
114109568315674,Ozan Bingöl,Ozan Bingöl,979,1
625595944453722,Ali Abbas Ertürk,Ali Abbas Erturk,979,7
161063617352762,AK Parti Zonguldak İl Başkanlığı,AK Parti Zonguldak İl Başkanlığı,979,7
105372312520215,Levent Yenilmez - Şanlıurfa Bağımsız Milletvekili Adayı,Levent Yenilmez,979,7
102525806170947,Ata İttifakı Konya,Recep Böber,979,1
100781266312487,Gülcan Kış,Gülcan Kış,979,22
111917151872313,Ergün Tekin,Ergün Tekin,979,6
101605686227473,Hakan Kuşçuoğlu,Hakan Kuşçuoğlu,979,5
103087702499272,Prof. Dr. Mustafa Araz,Prof. Dr. Mustafa Araz,979,7
116356958083849,Prof. Dr. Abdurrahman BAKIR,Mehmet Gazi Arslan,979,2
246776586058174,Eyyup Yıldız,Eyyup Yıldız,979,3
364129684334540,Yılmaz İLHAN,Yılmaz İLHAN,979,8
116108505131797,İsmail Erdem,İsmail Erdem,979,3
116789744737736,Fakibaba2023,Ahmet Eşref Fakıbaba,979,6
106977872374373,İsmail Aybars AKSOY,Aybars Aksoy,979,7
108091285256529,Ertuğrul KAYA,Ertuğrul KAYA,979,5
107056595666112,Hasan Ercüment Taşdemir CHP Antalya Milletvekili Adayı,Hasan Ercüment Taşdemir CHP Antalya Milletvekili Adayı,979,5
213380598742595,Selahattin Demirtaş,Ragıp Incesağır,979,8
347332359224240,Mevlüt İnanç,Mevlüt İnanç,979,9
289270345073936,İsmail Hakkı Bakır,İsmail Hakkı Bakır,974,2
103331031478719,Rıfat T. Nalbantoğlu,Rıfat T. Nalbantoğlu,970,4
116905004727285,Mesut Soyfidan,Mesut Soyfidan,962,6
105797409159485,Sururi Çorabatır,Sururi Çorabatır,932,20
116851311391526,Erkan Sarmaşık,Erkan Sarmaşık,927,24
106484769092779,Mustafa Su,Mustafa Su,920,8
103965639335616,Var mısın Antalya?,Faruk Islek,915,2
