Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
141870402543282,AK Parti,Ak Parti,15753,1
114597108291949,Haydi..ama nereye?,Excelligents,12386,33
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,11451,23
102911415086731,Ömer Yazıcıoğlu,Ömer Yazıcıoğlu,8524,2
118519987873082,Nebi Hatipoğlu,Orangefox Agency,1906,1
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,1568,3
177586435611321,Arçelik,These ads ran without a disclaimer,1481,2
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,1453,2
100568266218274,Gençliğin Yüzleri,Gençliğin Yüzleri,1354,4
100675732413915,Anketci.Net,Anketci.Net,1320,2
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,1289,9
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,1232,2
426339260809702,Oğul Aktuna,Oğul Aktuna,1210,1
106433519384639,Haber7,Haber7,1208,10
210993622366044,TVNET,TVNET,1100,7
326363220894548,Nail Çiler,Nail Çiler,1022,2
439268549551900,Ulaş Karasu,Ulaş Karasu,987,20
114357406669727,ABB TV,Antalya Büyükşehir Belediyesi,930,10
596449673702582,Gaziantep Büyükşehir Belediyesi,Gaziantep Büyükşehir Belediyesi,916,8
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,871,6
113279311715408,Adnan Duman,Adnan Duman,707,1
1414815935509791,MHP Kayseri Milletvekili Baki Ersoy,Latif Ersoy,705,1
105372312520215,Levent Yenilmez - Şanlıurfa Bağımsız Milletvekili Adayı,Levent Yenilmez,626,1
459314071262613,Zeynettin Aydın,Zeynettin Aydın,592,6
532775093532626,Yücel Bulut,Yucel Bulut,469,2
466041427161963,ERSİN BEYAZ,Ersin Beyaz,409,1
1573208652936912,Mustafa Erdem,Mustafa Erdem,387,1
139359281350,ILAC,These ads ran without a disclaimer,359,1
113027408315708,Herkes Duysun,Herkes Duysun,356,1
100665102848993,Gün Gün Kurtuluş,İlker  Tanrıverdi,313,3
1439683329600228,Ümit Uysal,Ümit Uysal,284,1
575755372513811,Muhittin Böcek,Antalya Büyükşehir Belediyesi,270,2
821150371248664,Özgürlük Araştırmaları,Özgürlük Araştırmaları,257,2
121480754253214,M. Ali Okul,Muhammet Ali Okul,253,1
2222003764721494,Halit Doğan,Halit Doğan,249,1
1001476859872937,Atilla ZORLU,Atila Zorlu,240,2
120293891041256,Deli Kadın,Kurumsal Reklam,238,12
113562291720284,Cumhuriyetçi Kadın,Kurumsal Reklam,238,12
113506495059583,Kadınların Reisi,Kurumsal Reklam,237,12
119960821075537,Milletin Sesi,Kurumsal Reklam,237,12
498579987170393,العدسة  The Lens,thelenspost,237,10
105716839182141,Köylü Kadın,Kurumsal Reklam,237,12
108049655614131,Cumhurun Seçimi,Kurumsal Reklam,234,12
122690747467671,Sana Söz Türkiye,Kurumsal Reklam,233,12
111589081920420,Kadınların Gücü,Kurumsal Reklam,233,12
103599182728857,Doğru Adam,Kurumsal Reklam,230,12
161063617352762,AK Parti Zonguldak İl Başkanlığı,AK Parti Zonguldak İl Başkanlığı,230,1
370802392936678,Antalya Muratpaşa Belediyesi,Antalya Muratpaşa Belediyesi,219,1
545629665828465,M. Mustafa Kocaman,Serhat Gunduzalp,218,2
762788400777520,Niğborsan sulama sistemleri,Mustafa Cigli,214,1
113673790352749,180 تحقيقات,180 تحقيقات,210,3
102252052289908,konsantrebilgiler,These ads ran without a disclaimer,208,1
101373896284011,Sma Hastası Azer Bebek - Bağış Kampanyası,Irem Kaplan,180,2
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,172,8
103700291606228,Doğa Şanlıoğlu,Doğa Şanlıoğlu,164,1
2106476036299977,Dr. Metin İlhan,Dr. Metin İlhan,160,1
104691722197784,صحيفة الاستقلال - العربية,صحيفة الاستقلال,147,6
815048841929079,M. Ergün Turan,M. Ergün Turan,131,4
111401735197044,Mehmet Aydemir,Mehmet Aydemir,128,2
101315571670453,Webagron Tarımsal İçerik Platformu,Webagron Tarımsal İçerik Platformu,121,9
243308135735519,Aydın Ses Gazetesi,Aydın Ses Gazetesi,121,1
146581405452633,Yeniden Milli Mücadele,Yeniden Milli Mücadele,120,3
211468532072,Beşiktaş Belediyesi,Beşiktaş Belediyesi,110,1
346006742126033,Bornova Belediyesi,Bornova Belediyesi,≤100,2
110734265223274,Av. Dr. Veli Böke,avdrveliboke,≤100,2
