Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,163693,73
344704883576,Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,101226,35
114597108291949,Haydi..ama nereye?,Excelligents,67955,52
1539520989621920,AK Parti Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,63801,60
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,62331,236
210993622366044,TVNET,TVNET,51862,43
100431406701471,Internethaber,Internethaber,50567,8
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,33645,17
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,21533,9
1160506840785202,Murat Kurum,Murat Kurum,19343,2
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),18885,10
123335290754743,Tek Devlet,Hikmet Arslan,17456,25
100675732413915,Anketci.Net,Anketci.Net,11508,4
629825407448189,Şerdil Dara Odabaşı,Şerdil Dara Odabaşı,9852,10
100474483029551,Trabzon için Hemen Şimdi,Adil Çözüm,9801,4
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,6768,2
102841632670929,Türkiye Gönüllüleri,Türkiye Gönüllüleri,5219,7
122193617537005,Haberettr,HABERET MEDYA AJANSI VE PRODÜKSİYON LİMİTED ŞİRKETİ,4196,2
235012790716,klavye mücahitleri,klavye mücahitleri,3989,8
100568266218274,Gençliğin Yüzleri,Gençliğin Yüzleri,3963,5
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,3712,2
241622166030816,Milli Mücadele,Milli Mücadele,3584,7
255623134454073,Veli Ağbaba,Veli Ağbaba,3469,3
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,3145,3
230779707685496,Türkiye'ye güvence,Türkiye'ye güvence,3053,1
106433519384639,Haber7,Haber7,2915,11
109777492466397,CHP Antalya İl Başkanlığı,CHP Antalya İl Başkanlığı,2897,7
102095934751904,Deva Partisi,Deva Partisi,2635,1
1444447882504938,Ak Parti Kayseri İl Başkanlığı,Ak Parti Kayseri İl Başkanlığı,2535,3
109922274953677,CheckZ,CheckZ,2337,1
2442681565757607,Tok Adam,Tok Adam,2050,1
1439683329600228,Ümit Uysal,Ümit Uysal,2048,5
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,1881,10
928921137187670,ALİ UÇAK,Volkan Erel,1750,3
101495115896210,Abdullah Özdemir,Abdullah Özdemir,1542,1
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,1505,8
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,1470,2
235663323857026,Mehmet Taytak,Mehmet Taytak,1285,2
101373896284011,Sma Hastası Azer Bebek - Bağış Kampanyası,Irem Kaplan,1021,2
102588741231494,Harun Özgür Yıldızlı,Harun Özgür Yıldızlı,997,6
1424394931135090,AK Parti Samsun İl Başkanlığı,AK Parti Samsun İl Başkanlığı,958,1
792468114181597,Gazete Yenigün,Gazete Yenigün,867,11
2028274240749386,Celal Köse,Celal Köse,865,15
220319391464566,Vahap Akay,Utku Yilmaz,804,1
113027408315708,Herkes Duysun,Herkes Duysun,706,2
532034453604874,CHP Keşan İlçe Başkanlığı,Cumhuriyet Halk Partisi Keşan İlçe Örgütü,665,3
1407759386141852,Ahmet Akın,Ahmet Akin,647,7
101052183005282,Geleceğimiz için 2. Tur,Mehmet Şahin,600,6
1493744950841097,Kınık Belediyesi,Sadik Dogruer,592,5
756997834458624,Türkiye 360,Yamen Elredey,585,6
319026564921676,Vatan Partisi,Vatan Partisi,526,1
392491680944925,Mevlüt Çavuşoğlu,Mevlüt Çavuşoğlu,501,1
111917151872313,Ergün Tekin,Ergün Tekin,479,5
2055232158049015,Dr.Şahin Talus,Dr.Şahin Talus,478,1
813910878738510,CHP Gaziantep İl Başkanlığı,Servet Törer,469,15
369391953226531,Eyüp Eroğlu,Akif Yurdakul,458,4
101504402960025,Seçim Sonrası Beklentiler Araştırması - Sabancı Üniversitesi,Özge Kemahlıoğlu Bayer,457,3
220319391464566,Vahap Akay,Vahap Akay,436,3
1493940890859471,Birileri Var,Birileri Var,424,1
710106765689224,Saadet Partisi Seydişehir İlçe Başkanlığı,Saadet Partisi Seydişehir İlçe Başkanlığı,385,1
459374448202949,Doruk BULUT,Doruk Bulut,377,3
815048841929079,M. Ergün Turan,M. Ergün Turan,361,10
111455471950485,Sesli Basın,Sesli Basın,355,3
545629665828465,M. Mustafa Kocaman,Serhat Gunduzalp,350,2
906394629482043,CHP Parti Okulu,CHP Parti Okulu,340,1
239548623187792,Bobirr Faner,These ads ran without a disclaimer,335,3
184138575666106,Veri Kaynağı,Veri Kaynağı,319,3
1657215431168321,Mustafa Gültak,Mustafa Gültak,313,1
529631907372883,İYİ Parti Gaziantep,Erkan Yeşersın,313,2
288254511315157,AK Parti Beyoğlu,These ads ran without a disclaimer,302,1
2122382917784550,Şeref Albayrak Halfeti Belediye Başkanı,Şeref Albayrak Halfeti Belediye Başkanı,295,3
2222003764721494,Halit Doğan,Halit Doğan,289,1
821150371248664,Özgürlük Araştırmaları,Özgürlük Araştırmaları,268,3
801586336532462,Rize Belediyesi,Rize Belediyesi,267,1
1424712337856061,Nazilli Havadis,Nazilli Havadis,262,1
120266711045676,Başka Açıdan Tv,These ads ran without a disclaimer,249,4
1380594035550142,Aydınpost,AYDINPOST,241,3
111589081920420,Kadınların Gücü,Kurumsal Reklam,240,12
105716839182141,Köylü Kadın,Kurumsal Reklam,238,12
113506495059583,Kadınların Reisi,Kurumsal Reklam,236,12
108049655614131,Cumhurun Seçimi,Kurumsal Reklam,236,12
103599182728857,Doğru Adam,Kurumsal Reklam,235,12
120293891041256,Deli Kadın,Kurumsal Reklam,233,12
113562291720284,Cumhuriyetçi Kadın,Kurumsal Reklam,228,12
119960821075537,Milletin Sesi,Kurumsal Reklam,228,12
101136958182226,Kırşehir Haber Vakti,Kırşehir Haber Vakti,227,2
122690747467671,Sana Söz Türkiye,Kurumsal Reklam,226,12
532775093532626,Yücel Bulut,Yucel Bulut,221,2
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,218,14
839363442860590,Dr. Mustafa Canbey,Mustafa Canbey,204,2
116039826895690,Deva Partisi Çerkezköy İlçe Başkanlığı,Fırat Yakut,192,4
110016225431493,Mustafa Ülkem Uruk,Mustafa Ülkem Uruk,190,2
106293391074800,Medical Academy Center,These ads ran without a disclaimer,188,1
575755372513811,Muhittin Böcek,Muhittin Böcek,185,2
113851270433840,Türkiye İşçi Partisi-Antalya,Eylem Karaman,185,1
105376981385020,Referandom,Referandom,184,2
788593847885854,Nermin Yıldırım KARA,Nermin Yıldırım Kara,177,3
1985687308391802,İlhan Ocaklı,İlhan Ocaklı,172,1
635323733597139,Ferhat Yılmaz,These ads ran without a disclaimer,169,1
459314071262613,Zeynettin Aydın,Zeynettin Aydın,169,2
483256081848072,Ayşe Keşir,Ayşe Keşir,165,6
1085757724915082,EHLİ REY,Murat Akgül,154,1
751555011582625,Yeşim KARADAĞ,Yeşim KARADAĞ,152,2
191902777500324,OTAG TV,Levent Açıkgöz,141,1
104561382616326,ahmetgokhansaricam,These ads ran without a disclaimer,139,1
122362084136699,evrimbalbaloglu,Evrim Balbaloglu,136,1
498108350567415,Nilüfer Deveci,Nilufer Deveci,132,1
619126554886307,Ali Hikmet Akıllı,Ali Hikmet Akilli,131,1
1411242469192279,Abdurrahman Tutdere,Abdurrahman Tutdere,122,1
110795314730033,Davanız Davamız,Davanız Davamız,122,2
114800218162558,Haber Penceresi,Haber Penceresi,111,1
311773282279653,Uşak Haber,Kenan Arslan,110,2
