Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,505724,81
344704883576,Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,149120,35
76599755300,Kemal Kılıçdaroğlu,Kemal Kılıçdaroğlu,123340,3
210993622366044,TVNET,TVNET,98035,43
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,95329,14
100431406701471,Internethaber,Internethaber,80247,12
1539520989621920,AK Parti Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,66169,60
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,64968,235
114597108291949,Haydi..ama nereye?,Excelligents,38362,6
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,32668,9
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),30721,20
1160506840785202,Murat Kurum,Murat Kurum,20089,2
123335290754743,Tek Devlet,Hikmet Arslan,18153,5
100474483029551,Trabzon için Hemen Şimdi,Adil Çözüm,12084,3
2442681565757607,Tok Adam,Tok Adam,11715,5
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,11123,4
674523449330207,Yavuz Aydın,Yavuz Aydin,9873,21
230779707685496,Türkiye'ye güvence,Türkiye'ye güvence,9751,1
255623134454073,Veli Ağbaba,Veli Ağbaba,8819,4
629825407448189,Şerdil Dara Odabaşı,Şerdil Dara Odabaşı,8187,6
109922274953677,CheckZ,CheckZ,7771,1
102095934751904,Deva Partisi,Deva Partisi,7122,1
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,6288,2
577263849368473,Mehmet Murat Çalık,Mehmet Murat Çalık,5956,2
235012790716,klavye mücahitleri,klavye mücahitleri,5628,11
122193617537005,Haberettr,HABERET MEDYA AJANSI VE PRODÜKSİYON LİMİTED ŞİRKETİ,4375,2
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,3719,2
1424394931135090,AK Parti Samsun İl Başkanlığı,AK Parti Samsun İl Başkanlığı,3333,3
106433519384639,Haber7,Haber7,3245,9
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,3178,11
109777492466397,CHP Antalya İl Başkanlığı,CHP Antalya İl Başkanlığı,2770,4
1444447882504938,Ak Parti Kayseri İl Başkanlığı,Ak Parti Kayseri İl Başkanlığı,2667,3
710106765689224,Saadet Partisi Seydişehir İlçe Başkanlığı,Saadet Partisi Seydişehir İlçe Başkanlığı,2592,3
102841632670929,Türkiye Gönüllüleri,Türkiye Gönüllüleri,2586,7
100675732413915,Anketci.Net,Anketci.Net,2366,5
2055232158049015,Dr.Şahin Talus,Dr.Şahin Talus,1679,1
1439683329600228,Ümit Uysal,Ümit Uysal,1659,7
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,1525,2
815048841929079,M. Ergün Turan,M. Ergün Turan,1487,15
1014466885240850,Semih Esen,Semih Esen,1485,2
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,1479,2
117491812983397,Yurttan Sesler,Yurttan Sesler,1452,5
792468114181597,Gazete Yenigün,Gazete Yenigün,1433,15
116108505131797,İsmail Erdem,İsmail Erdem,1369,2
678793932148150,Muammer Keskin,Şişli Belediyesi,1362,1
596449673702582,Gaziantep Büyükşehir Belediyesi,Gaziantep Büyükşehir Belediyesi,1347,6
756997834458624,Türkiye 360,Yamen Elredey,1287,11
172312959454958,Mustafa Sarıgül,Mustafa Sarıgül,1264,1
1493744950841097,Kınık Belediyesi,Sadik Dogruer,1212,10
928921137187670,ALİ UÇAK,Volkan Erel,1182,2
180284242121006,Ahmet Poyraz,Ahmet Poyraz,1173,2
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,1141,10
532034453604874,CHP Keşan İlçe Başkanlığı,Cumhuriyet Halk Partisi Keşan İlçe Örgütü,1031,4
419900781487701,Dokuz8HABER,Huseyin Gokhan Bicici,1021,1
102588741231494,Harun Özgür Yıldızlı,Harun Özgür Yıldızlı,1021,7
2179119385743535,Fatih Türkel,Fatih Türkel,1021,8
1493940890859471,Birileri Var,Birileri Var,1001,3
392491680944925,Mevlüt Çavuşoğlu,Mevlüt Çavuşoğlu,954,3
821150371248664,Özgürlük Araştırmaları,Özgürlük Araştırmaları,946,4
220319391464566,Vahap Akay,Utku Yilmaz,875,1
674246299352290,Kadim Durmaz Tokat Milletvekili,Ulvi Gelbal,869,9
575755372513811,Muhittin Böcek,Muhittin Böcek,812,7
72489021761,SOL Parti,SOL Parti,790,1
114168168328121,Mehmet Tahtasız,Mehmet Tahtasız,709,4
113027408315708,Herkes Duysun,Herkes Duysun,706,2
2222003764721494,Halit Doğan,Halit Doğan,698,1
480865392321146,Kalan Karakus,Cumhuriyet Halk Partisi,669,1
101495115896210,Abdullah Özdemir,Abdullah Özdemir,592,1
813910878738510,CHP Gaziantep İl Başkanlığı,Servet Törer,590,15
319026564921676,Vatan Partisi,Vatan Partisi,571,1
2028274240749386,Celal Köse,Celal Köse,527,7
162775624561503,Özlem URAL Milletvekilli 2. Sıra Adayı,ÖZLEM URAL,524,3
111917151872313,Ergün Tekin,Ergün Tekin,519,4
1414574845504535,Mimar İbrahim Demir chp adana Milletvekili adayı,Mimar İbrahim Demir chp adana Milletvekili adayı,515,1
529631907372883,İYİ Parti Gaziantep,Erkan Yeşersın,506,2
2122382917784550,Şeref Albayrak Halfeti Belediye Başkanı,Şeref Albayrak Halfeti Belediye Başkanı,480,5
226410901315304,Areda Survey,Areda Survey,476,6
101504402960025,Seçim Sonrası Beklentiler Araştırması - Sabancı Üniversitesi,Özge Kemahlıoğlu Bayer,457,3
101052183005282,Geleceğimiz için 2. Tur,Mehmet Şahin,444,5
102081045702842,Ozan Balık,Ozan Balik,417,2
532775093532626,Yücel Bulut,Yucel Bulut,412,4
890935934274178,Serdar Sandal,Burak Özer,405,2
191902777500324,OTAG TV,Levent Açıkgöz,400,2
1878939355750536,Turgay Genç,Turgay Genç,384,2
498579987170393,العدسة  The Lens,thelenspost,376,6
320343148103104,AK Parti Afyonkarahisar İl Başkanlığı,Oktay Yuksel,360,1
219031704851494,SAS (Satın Almayın Sahiplenin),Fırat Yıldız Ahmet,358,2
1407759386141852,Ahmet Akın,Ahmet Akin,339,2
751555011582625,Yeşim KARADAĞ,Yeşim KARADAĞ,335,3
483256081848072,Ayşe Keşir,Ayşe Keşir,323,9
369391953226531,Eyüp Eroğlu,Akif Yurdakul,318,6
220319391464566,Vahap Akay,Vahap Akay,313,2
109118571434888,morikahvaltimavisehir,These ads ran without a disclaimer,303,1
