Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
344704883576,Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,119127,35
255623134454073,Veli Ağbaba,Veli Ağbaba,19360,8
105372312520215,Levent Yenilmez - Şanlıurfa Bağımsız Milletvekili Adayı,Levent Yenilmez,19241,14
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,13935,126
928921137187670,ALİ UÇAK,Volkan Erel,12320,9
101316846258251,İbrahim Şenel,Ibrahim Şenel,11798,28
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,11604,4
674523449330207,Yavuz Aydın,Yavuz Aydin,9873,36
106721105738428,Emin Selim Akgül,Elif Beyza Tekin,9473,1
206541136053869,Behçet SAATCI,Behçet Saatcı,9358,3
105930572489375,Mehmet Ali Karamemiş Çankırı Milletvekili Adayı,Mehmet Ali Karamemiş,9014,9
1652655528320877,Emre Yılmaz,Emre Yılmaz,8618,1
101490908746353,Zafer Partisi,Zafer Partisi,8323,1
103375823077684,Kurukahveci Mehmet Efendi Mahdumları 1871,Evren Noyan Kalay,8000,6
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,6715,1
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,6565,4
289270345073936,İsmail Hakkı Bakır,İsmail Hakkı Bakır,6055,8
704507633271313,Bülent Şükrü Altınışık,Batuhan Efe Öner,4936,21
216834679120425,Müsavat Dervişoğlu - İYİ Parti,Müsavat Dervişoğlu - İYİ Parti,4936,2
235663323857026,Mehmet Taytak,Mehmet Taytak,4848,7
319026564921676,Vatan Partisi,Vatan Partisi,4840,5
319726958236378,Turan Yaldır,Turan Yaldır,4409,5
125443057854939,Tolga Erener AK PARTİ Giresun Milletvekili Adayı,Tolga Erener AK PARTİ Giresun Milletvekili Adayı,4244,6
103906304319835,Özgür Bayraktar,Özgür Bayraktar,4165,4
772187612859346,Erkan Haberal,Erkan Haberal,4084,2
227389671001460,CHP Aksaray İl Başkanlığı,Sule Cankal,3374,1
503207923065874,45 HABER,Deniz Guner,3281,5
118519987873082,Nebi Hatipoğlu,Orangefox Agency,3241,3
254110651270938,Mustafa DESTİCİ,Mustafa DESTİCİ,3099,2
1998130653848755,Ramazan Kaşlı  MHP Aksaray Milletvekili,Ramazan Kaşlı  MHP Aksaray Milletvekili,2918,33
106187277979172,Dijital Gaste,Veysel Karahan,2871,1
241622166030816,Milli Mücadele,Milli Mücadele,2703,6
