Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,56024,299
141870402543282,AK Parti,Ak Parti,44862,2
114597108291949,Haydi..ama nereye?,Excelligents,31243,37
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),21525,9
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,17350,20
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,11818,10
210993622366044,TVNET,TVNET,7995,14
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,5146,2
102841632670929,Türkiye Gönüllüleri,Türkiye Gönüllüleri,5056,7
629825407448189,Şerdil Dara Odabaşı,Şerdil Dara Odabaşı,3964,7
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,3653,3
109777492466397,CHP Antalya İl Başkanlığı,CHP Antalya İl Başkanlığı,2598,7
498108350567415,Nilüfer Deveci,Nilufer Deveci,2506,2
122193617537005,Haberettr,HABERET MEDYA AJANSI VE PRODÜKSİYON LİMİTED ŞİRKETİ,2244,2
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,2037,6
100431406701471,Internethaber,Internethaber,1959,2
1424394931135090,AK Parti Samsun İl Başkanlığı,AK Parti Samsun İl Başkanlığı,1804,1
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,1541,2
459374448202949,Doruk BULUT,Doruk Bulut,1075,5
928921137187670,ALİ UÇAK,Volkan Erel,1029,1
1444447882504938,Ak Parti Kayseri İl Başkanlığı,Ak Parti Kayseri İl Başkanlığı,1001,2
362110253924146,Hasan Tahsin Usta,Hasan Tahsin Usta,989,1
104606505943488,Bilal Bilici,Bilal Bilici,982,1
442270952898050,Ahmet Sel,Ahmet Sel,973,1
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,969,6
792468114181597,Gazete Yenigün,Gazete Yenigün,967,4
619126554886307,Ali Hikmet Akıllı,Ali Hikmet Akilli,892,3
2082253428719870,Silkele Başkan Düşüyorlar,Silkele Başkan Düşüyorlar,803,21
220319391464566,Vahap Akay,Utku Yilmaz,689,1
316355873466,EKOMAX YAKIT TASARRUF VE PERFORMANS SİSTEMLERİ,These ads ran without a disclaimer,641,1
1493744950841097,Kınık Belediyesi,Sadik Dogruer,613,3
111455471950485,Sesli Basın,Sesli Basın,577,1
319026564921676,Vatan Partisi,Vatan Partisi,567,1
105376981385020,Referandom,Referandom,533,2
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,528,1
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,526,1
130021167171935,Hüseyin Keskin,Hüseyin Keskin,477,1
252723995287282,Ali KEVEN,Recep Yilmaz,470,6
326363220894548,Nail Çiler,Nail Çiler,441,2
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,439,1
100234309392938,Halal Paradise Didim,These ads ran without a disclaimer,426,1
2028274240749386,Celal Köse,Celal Köse,400,3
