Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,95469,45
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,59563,296
114597108291949,Haydi..ama nereye?,Excelligents,57666,49
210993622366044,TVNET,TVNET,30193,27
100431406701471,Internethaber,Internethaber,25211,8
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,17051,8
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,11917,10
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),10729,10
629825407448189,Şerdil Dara Odabaşı,Şerdil Dara Odabaşı,5863,6
105904952467015,World Animal,These ads ran without a disclaimer,5835,1
102841632670929,Türkiye Gönüllüleri,Türkiye Gönüllüleri,5536,7
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,4983,4
102095934751904,Deva Partisi,Deva Partisi,4473,1
122193617537005,Haberettr,HABERET MEDYA AJANSI VE PRODÜKSİYON LİMİTED ŞİRKETİ,4385,2
417251848779475,Mehmet Ersoy,Mehmet Ersoy,4268,8
255623134454073,Veli Ağbaba,Veli Ağbaba,3300,2
252723995287282,Ali KEVEN,Recep Yilmaz,3117,11
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,2668,2
1444447882504938,Ak Parti Kayseri İl Başkanlığı,Ak Parti Kayseri İl Başkanlığı,2584,3
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,2194,2
123335290754743,Tek Devlet,Hikmet Arslan,2136,28
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,2016,8
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,1954,2
109777492466397,CHP Antalya İl Başkanlığı,CHP Antalya İl Başkanlığı,1887,5
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,1547,2
104606505943488,Bilal Bilici,Bilal Bilici,1506,1
459374448202949,Doruk BULUT,Doruk Bulut,1177,5
235012790716,klavye mücahitleri,klavye mücahitleri,1176,6
241622166030816,Milli Mücadele,Milli Mücadele,1072,7
102588741231494,Harun Özgür Yıldızlı,Harun Özgür Yıldızlı,1034,5
442270952898050,Ahmet Sel,Ahmet Sel,997,1
