Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
344704883576,Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,711739,34
1160506840785202,Murat Kurum,Murat Kurum,397998,23
101726388406507,Tabuta Sığmayanlar,Tabuta Sığmayanlar,303883,13
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,284602,5
141870402543282,AK Parti,Ak Parti,198672,12
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),157221,69
102095934751904,Deva Partisi,Deva Partisi,94894,14
2281400925408962,Türkiye'ye Sahip Çık,Türkiye'ye Sahip Çık,84580,2
176338225842984,Yeşil Sol Parti,Yeşil Sol Parti,82272,22
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,80515,100
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,73602,34
462963834529864,Levent Uysal,Levent Uysal,62527,9
101490908746353,Zafer Partisi,Zafer Partisi,56697,8
76599755300,Kemal Kılıçdaroğlu,Kemal Kılıçdaroğlu,55778,37
510344522371733,Oy ve Ötesi,Oy ve Ötesi,52928,81
106187277979172,Dijital Gaste,Veysel Karahan,43526,7
294889615437,Sinan Oğan,Sinan Oğan,37339,6
100431406701471,Internethaber,Internethaber,33139,8
107621395263001,Bilge Yılmaz,Bilge Yılmaz,33114,6
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,32377,5
1652655528320877,Emre Yılmaz,Emre Yılmaz,31744,10
655349114629011,Av. Ece Güner,Av. Ece Güner,30875,5
100308889524493,Türkiye Yüzyılı,Arda Akın,30690,35
804210899660885,Ahmet Katar,Ahmet Katar,29638,36
100474483029551,Trabzon için Hemen Şimdi,Adil Çözüm,20562,17
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,19459,7
255623134454073,Veli Ağbaba,Veli Ağbaba,19360,11
289270345073936,İsmail Hakkı Bakır,İsmail Hakkı Bakır,17993,11
1807684336017268,Rıdvan Eşin,Gökhan Öztürk,17697,6
1414815935509791,MHP Kayseri Milletvekili Baki Ersoy,Latif Ersoy,17544,17
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,16710,8
32148298385,Prof.Dr.Numan Kurtulmuş,Numan Kurtulmuş,14952,1
101316846258251,İbrahim Şenel,Ibrahim Şenel,14149,27
500796300357232,Turgay Baştuğ,Milliyetçi Hareket Partisi Ankara İl Başkanlığı,12211,72
