Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,265088,38
141870402543282,AK Parti,Ak Parti,160986,9
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),143476,69
1607304669378571,İlk Oy Hareketi,İlk Oy Hareketi,113518,34
76599755300,Kemal Kılıçdaroğlu,Kemal Kılıçdaroğlu,106156,71
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,80334,37
101726388406507,Tabuta Sığmayanlar,Tabuta Sığmayanlar,74365,14
1160506840785202,Murat Kurum,Murat Kurum,51767,21
176338225842984,Yeşil Sol Parti,Yeşil Sol Parti,48640,15
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,29716,18
510344522371733,Oy ve Ötesi,Oy ve Ötesi,19659,54
105347052558895,,These ads ran without a disclaimer,19295,2
462963834529864,Levent Uysal,Levent Uysal,18889,15
417251848779475,Mehmet Ersoy,Mehmet Ersoy,15238,25
106257739113036,Yudum Kaşıkçı,Yudum Kaşıkçı,12424,28
268544196532365,Saadet Partisi İstanbul İl Başkanlığı,Saadet Partisi İstanbul İl Başkanlığı,11387,4
1407759386141852,Ahmet Akın,Ahmet Akın,10551,17
106721105738428,Emin Selim Akgül,Elif Beyza Tekin,9779,1
217712041637127,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,9353,1
787833781580301,Kim Kimdir?,Adem Demirkol,8208,60
373938392217,AK PARTİ ANKARA İL BAŞKANLIĞI,AK PARTİ ANKARA İL BAŞKANLIĞI,7392,2
104555602151780,Ebrar Nura Umutol,Emrah Bilaloglu,7350,1
378633122196492,Lutfullah Kayalar,Serhan Kayalar,7347,17
102095934751904,Deva Partisi,Deva Partisi,6979,11
105724511499805,Yeniden Refah Partisi,Yeniden Refah Partisi,6853,55
136130166537386,AK Parti Bursa İl Başkanlığı,AK Parti Bursa İl Başkanlığı,6792,4
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,6339,8
100474483029551,Trabzon için Hemen Şimdi,Adil Çözüm,6235,3
500796300357232,Turgay Baştuğ,Milliyetçi Hareket Partisi Ankara İl Başkanlığı,6219,32
286724078913557,Mustafa Varank,Mustafa Varank,6158,3
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,6134,17
621229804571861,Fethi Yaşar,Fethi Yaşar,6078,12
113823067080077,DEVA Partisi Sivas İl Teşkilatı,Taha Kutlu Çevik,5734,23
1414815935509791,MHP Kayseri Milletvekili Baki Ersoy,Latif Ersoy,5356,16
106187277979172,Dijital Gaste,Veysel Karahan,5313,3
294889615437,Sinan Oğan,Sinan Oğan,5201,3
116867964704909,Av.Ufuk Kanışkan,Ahmet Özer Esgin,4895,7
206541136053869,Behçet SAATCI,Behçet Saatcı,4737,5
274475286702,Muharrem İNCE,Muharrem İNCE,4728,8
877839188967827,Büyük Türkiye,Adem Demirkol,4716,45
110222395380504,Vedat Necmettin Arslanoğlu,Vedat Necmettin Arslanoğlu,4552,4
326363220894548,Nail Çiler,Nail Çiler,4526,14
338192240782851,Davut Gürkan,Davut Gürkan,4309,4
655349114629011,Av. Ece Güner,Av. Ece Güner,4292,3
2037050303009041,Abdullah Karapıçak,Abdullah Karapıçak,4191,5
210993622366044,TVNET,TVNET,4047,20
209175722605698,Saffet Sancaklı,Saffet Sancaklı,3937,6
115213624871864,Bahadır Bumin Özarslan,Halil Ibrahim Yilmaz,3822,29
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,3767,9
109557384233443,Yüksel Taşkın,Yüksel Taşkın,3598,16
805926876122264,Suat Özçağdaş,Suat Özçağdaş,3555,8
1768709703437324,İYİ Parti Adana İl Başkanlığı,İYİ Parti Adana İl Başkanlığı,3534,2
273568980163535,Serdar Soydan MHP,Tasarım Medya Reklam,3442,15
483256081848072,Ayşe Keşir,Ayşe Keşir,3354,5
105051945092974,Memleket Partisi,Mustafa Çağlayan,3092,16
1002521723283648,Ayhan Kınden,Ayhan Kınden,3069,7
196374208371,ALİ KESKİNKILIÇ,Ali Keskinkılıç,3027,11
108107585034488,Bahadır Erdem,Bahadır Erdem,2972,7
2055232158049015,Dr.Şahin Talus,Dr.Şahin Talus,2913,10
1532389387082678,Sarıçam Belediyesi,BİLAL ULUDAĞ,2902,1
674523449330207,Yavuz Aydın,Yavuz Aydin,2883,31
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,2744,5
1998130653848755,Ramazan Kaşlı  MHP Aksaray Milletvekili,Ramazan Kaşlı  MHP Aksaray Milletvekili,2655,30
851556338241562,Ayşen Kurt,Ayşen Kurt,2616,5
101519926236417,Mustafa Akın,Mustafa Akın,2602,17
533617450479963,İdris Naim ŞAHİN,İdris Naim ŞAHİN,2548,6
504901456292964,Tahsin Ocaklı,Tahsin Ocaklı,2475,8
109839182079683,Yeşil Sol Batman,Yeşil Sol Parti Batman,2308,8
117838861275362,Fahrettin Tuğrul,Fahrettin Tuğrul,2268,4
172312959454958,Mustafa Sarıgül,Mustafa Sarıgül,2212,3
704507633271313,Bülent Şükrü Altınışık,Batuhan Efe Öner,2188,20
1444447882504938,Ak Parti Kayseri İl Başkanlığı,Ak Parti Kayseri İl Başkanlığı,2157,6
107821532289110,Aziz kalaycı,Ömer Yatkın,2070,6
598725973543356,CHP Antalya Gençlik Kolları,CHP Antalya Gençlik Kolları,1983,18
392491680944925,Mevlüt Çavuşoğlu,Mevlüt Çavuşoğlu,1871,8
103141042761034,Ferda Ertürk,Oktay Yuksel,1868,16
144369108949589,Prof. Dr. Yasemin AÇIK,Prof. Dr. Yasemin AÇIK,1862,5
101412155815146,Seracettin Bedirhanoğlu,Seracettin Bedirhanoğlu,1837,7
772187612859346,Erkan Haberal,Erkan Haberal,1819,2
110728302013791,Memleket Partisi Yalova Milletvekili Adayı Ertan Şener,Ertan Şener,1789,6
377634282278139,Büyük Birlik Partisi,Büyük Birlik Partisi Genel Merkezi,1760,9
528071707564813,Uğurhan Tiryaki,Uğurhan Tiryaki,1754,3
101316846258251,İbrahim Şenel,Ibrahim Şenel,1722,14
1622164058014589,Mestan Özcan,OPTİMUM MEDYA VE REKLAM TANITIM HİZMETLERİ A.Ş,1704,20
2281400925408962,Türkiye'ye Sahip Çık,Arda Akın,1687,4
107487660764415,Hasan Ekici,Bekir Karakuş,1674,2
425757864244456,Süleyman Karaman,Ali Umar,1667,5
101490908746353,Zafer Partisi,Zafer Partisi,1657,3
426339260809702,Oğul Aktuna,Oğul Aktuna,1655,3
215158578510066,Ümit Özdağ,Mehmet Emin Özbey,1635,1
106433519384639,Haber7,Haber7,1628,5
100961656309902,Bağımsız Milletvekili Fatih Gür,FATİH GÜR İNŞAAT VE TİC.LTD.ŞTİ,1614,7
118536807883838,Helil İnay Kınay,Helil Kınay,1579,2
103728271055286,Selçuk Kılıçaslan,Selcuk Kilicaslan,1569,4
101352224679488,Belgin İba,Eyup Seha Ugurluel,1548,1
608372546191157,Şahin Gürz,Şahin Gürz,1543,11
120679647668758,Trabzon - Millet İttifakı Cumhurbaşkanlığı Seçim Koordinasyon Merkezi,İlker Akinci,1538,1
104205562634100,Hakan Satılmış,Hakan Satılmış,1537,5
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,1509,2
