Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,59349,280
114597108291949,Haydi..ama nereye?,Excelligents,29836,55
141870402543282,AK Parti,Ak Parti,16160,1
122193617537005,Haberettr,HABERET MEDYA AJANSI VE PRODÜKSİYON LİMİTED ŞİRKETİ,4490,2
210993622366044,TVNET,TVNET,2764,13
102841632670929,Türkiye Gönüllüleri,Türkiye Gönüllüleri,2674,7
678793932148150,Muammer Keskin,Şişli Belediyesi,2358,2
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,1984,17
575755372513811,Muhittin Böcek,Antalya Büyükşehir Belediyesi,1781,2
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,1491,2
1493744950841097,Kınık Belediyesi,Sadik Dogruer,1480,6
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,1474,3
177586435611321,Arçelik,These ads ran without a disclaimer,1428,2
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),1347,4
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,1152,1
106433519384639,Haber7,Haber7,1104,8
326363220894548,Nail Çiler,Nail Çiler,1052,2
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,919,6
928921137187670,ALİ UÇAK,Volkan Erel,891,1
113279311715408,Adnan Duman,Adnan Duman,763,1
2222003764721494,Halit Doğan,Halit Doğan,760,4
235663323857026,Mehmet Taytak,Mehmet Taytak,728,1
220319391464566,Vahap Akay,Utku Yilmaz,714,1
105372312520215,Levent Yenilmez - Şanlıurfa Bağımsız Milletvekili Adayı,Levent Yenilmez,660,2
2082253428719870,Silkele Başkan Düşüyorlar,Silkele Başkan Düşüyorlar,659,20
596449673702582,Gaziantep Büyükşehir Belediyesi,Gaziantep Büyükşehir Belediyesi,579,4
792468114181597,Gazete Yenigün,Gazete Yenigün,569,5
619126554886307,Ali Hikmet Akıllı,Ali Hikmet Akilli,526,2
100675732413915,Anketci.Net,Anketci.Net,508,1
370802392936678,Antalya Muratpaşa Belediyesi,Antalya Muratpaşa Belediyesi,501,1
352176072180752,Ahmet Cin,Ahmet Cin,449,1
532775093532626,Yücel Bulut,Yucel Bulut,422,2
102191059310129,Kumsala Nefes Ol,These ads ran without a disclaimer,419,2
